"drug_type","case","details","year","percentage","sex","age","race","hispanic"
"All drug overdose deaths","Sex and race","Male: Black or African American",2015,16.8,"Male",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Male: Black or African American",2016,24,"Male",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Male: Black or African American",2017,29.7,"Male",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Male: Black or African American",2018,30.9,"Male",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Male: American Indian or Alaska Native",1999,5.7,"Male",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Male: American Indian or Alaska Native",2000,6.1,"Male",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Male: American Indian or Alaska Native",2001,5.9,"Male",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Male: American Indian or Alaska Native",2002,8.2,"Male",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Male: American Indian or Alaska Native",2003,9.4,"Male",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Male: American Indian or Alaska Native",2004,11.2,"Male",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Male: American Indian or Alaska Native",2005,10.8,"Male",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Male: American Indian or Alaska Native",2006,13,"Male",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Male: American Indian or Alaska Native",2007,10.5,"Male",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Male: American Indian or Alaska Native",2008,13.5,"Male",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Male: American Indian or Alaska Native",2009,14.2,"Male",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Male: American Indian or Alaska Native",2010,11.8,"Male",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Male: American Indian or Alaska Native",2011,12.9,"Male",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Male: American Indian or Alaska Native",2012,12.8,"Male",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Male: American Indian or Alaska Native",2013,12.9,"Male",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Male: American Indian or Alaska Native",2014,15.9,"Male",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Male: American Indian or Alaska Native",2015,16,"Male",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Male: American Indian or Alaska Native",2016,17.7,"Male",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Male: American Indian or Alaska Native",2017,19.7,"Male",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Male: American Indian or Alaska Native",2018,21.3,"Male",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Male: Asian or Pacific Islander",1999,1.5,"Male",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Male: Asian or Pacific Islander",2000,1.4,"Male",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Male: Asian or Pacific Islander",2001,1.6,"Male",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Male: Asian or Pacific Islander",2002,1.9,"Male",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Male: Asian or Pacific Islander",2003,1.7,"Male",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Male: Asian or Pacific Islander",2004,2.1,"Male",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Male: Asian or Pacific Islander",2005,2.2,"Male",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Male: Asian or Pacific Islander",2006,2.3,"Male",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Male: Asian or Pacific Islander",2007,2.2,"Male",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Male: Asian or Pacific Islander",2008,2.1,"Male",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Male: Asian or Pacific Islander",2009,2.8,"Male",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Male: Asian or Pacific Islander",2010,2.5,"Male",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Male: Asian or Pacific Islander",2011,3.2,"Male",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Male: Asian or Pacific Islander",2012,3.1,"Male",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Male: Asian or Pacific Islander",2013,3.2,"Male",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Male: Asian or Pacific Islander",2014,3.3,"Male",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Male: Asian or Pacific Islander",2015,4.1,"Male",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Male: Asian or Pacific Islander",2016,4.7,"Male",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Male: Asian or Pacific Islander",2017,5.2,"Male",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Male: Asian or Pacific Islander",2018,5.7,"Male",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Female: White",1999,4,"Female",NA,"White",NA
"All drug overdose deaths","Sex and race","Female: White",2000,4.3,"Female",NA,"White",NA
"All drug overdose deaths","Sex and race","Female: White",2001,4.9,"Female",NA,"White",NA
"All drug overdose deaths","Sex and race","Female: White",2002,6.2,"Female",NA,"White",NA
"All drug overdose deaths","Sex and race","Female: White",2003,6.9,"Female",NA,"White",NA
"All drug overdose deaths","Sex and race","Female: White",2004,7.5,"Female",NA,"White",NA
"All drug overdose deaths","Sex and race","Female: White",2005,8,"Female",NA,"White",NA
"All drug overdose deaths","Sex and race","Female: White",2006,9,"Female",NA,"White",NA
"All drug overdose deaths","Sex and race","Female: White",2007,9.8,"Female",NA,"White",NA
"All drug overdose deaths","Sex and race","Female: White",2008,10.1,"Female",NA,"White",NA
"All drug overdose deaths","Sex and race","Female: White",2009,10.3,"Female",NA,"White",NA
"All drug overdose deaths","Sex and race","Female: White",2010,10.9,"Female",NA,"White",NA
"All drug overdose deaths","Sex and race","Female: White",2011,11.7,"Female",NA,"White",NA
"All drug overdose deaths","Sex and race","Female: White",2012,11.6,"Female",NA,"White",NA
"All drug overdose deaths","Sex and race","Female: White",2013,12.1,"Female",NA,"White",NA
"All drug overdose deaths","Sex and race","Female: White",2014,12.7,"Female",NA,"White",NA
"All drug overdose deaths","Sex and race","Female: White",2015,13.6,"Female",NA,"White",NA
"All drug overdose deaths","Sex and race","Female: White",2016,15.2,"Female",NA,"White",NA
"All drug overdose deaths","Sex and race","Female: White",2017,16.3,"Female",NA,"White",NA
"All drug overdose deaths","Sex and race","Female: White",2018,15.2,"Female",NA,"White",NA
"All drug overdose deaths","Sex and race","Female: Black or African American",1999,3.9,"Female",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Female: Black or African American",2000,4.1,"Female",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Female: Black or African American",2001,4.4,"Female",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Female: Black or African American",2002,5,"Female",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Female: Black or African American",2003,5.2,"Female",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Female: Black or African American",2004,5.5,"Female",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Female: Black or African American",2005,6,"Female",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Female: Black or African American",2006,6.3,"Female",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Female: Black or African American",2007,6.3,"Female",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Female: Black or African American",2008,5.4,"Female",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Female: Black or African American",2009,5.6,"Female",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Female: Black or African American",2010,5.7,"Female",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Female: Black or African American",2011,5.9,"Female",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Female: Black or African American",2012,6,"Female",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Female: Black or African American",2013,6.3,"Female",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Female: Black or African American",2014,7,"Female",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Female: Black or African American",2015,7.5,"Female",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Female: Black or African American",2016,10,"Female",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Female: Black or African American",2017,11.2,"Female",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Female: Black or African American",2018,11.1,"Female",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Female: American Indian or Alaska Native",1999,4.6,"Female",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Female: American Indian or Alaska Native",2000,3.7,"Female",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Female: American Indian or Alaska Native",2001,5.2,"Female",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Female: American Indian or Alaska Native",2002,5.6,"Female",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Female: American Indian or Alaska Native",2003,7.3,"Female",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Female: American Indian or Alaska Native",2004,7.9,"Female",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Female: American Indian or Alaska Native",2005,8.6,"Female",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Female: American Indian or Alaska Native",2006,7.9,"Female",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Female: American Indian or Alaska Native",2007,9.9,"Female",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Female: American Indian or Alaska Native",2008,8.8,"Female",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Female: American Indian or Alaska Native",2009,9.6,"Female",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Female: American Indian or Alaska Native",2010,9.7,"Female",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Female: American Indian or Alaska Native",2011,10.7,"Female",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Female: American Indian or Alaska Native",2012,12.2,"Female",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Female: American Indian or Alaska Native",2013,11.6,"Female",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Female: American Indian or Alaska Native",2014,11.2,"Female",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Female: American Indian or Alaska Native",2015,11.3,"Female",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Female: American Indian or Alaska Native",2016,13.1,"Female",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Female: American Indian or Alaska Native",2017,12.7,"Female",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Female: American Indian or Alaska Native",2018,12.8,"Female",NA,"American Indian or Alaska Native",NA
"All drug overdose deaths","Sex and race","Female: Asian or Pacific Islander",1999,1,"Female",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Female: Asian or Pacific Islander",2000,0.8,"Female",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Female: Asian or Pacific Islander",2001,0.8,"Female",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Female: Asian or Pacific Islander",2002,1.1,"Female",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Female: Asian or Pacific Islander",2003,1.2,"Female",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Female: Asian or Pacific Islander",2004,1.1,"Female",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Female: Asian or Pacific Islander",2005,1.3,"Female",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Female: Asian or Pacific Islander",2006,1.4,"Female",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Female: Asian or Pacific Islander",2007,1.6,"Female",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Female: Asian or Pacific Islander",2008,1.3,"Female",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Female: Asian or Pacific Islander",2009,1.3,"Female",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Female: Asian or Pacific Islander",2010,1.5,"Female",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Female: Asian or Pacific Islander",2011,1.6,"Female",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Female: Asian or Pacific Islander",2012,1.4,"Female",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Female: Asian or Pacific Islander",2013,1.5,"Female",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Female: Asian or Pacific Islander",2014,1.7,"Female",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Female: Asian or Pacific Islander",2015,1.5,"Female",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Female: Asian or Pacific Islander",2016,1.8,"Female",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Female: Asian or Pacific Islander",2017,2,"Female",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race","Female: Asian or Pacific Islander",2018,2.1,"Female",NA,"Asian or Pacific Islander",NA
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Hispanic or Latino: All races",1999,8.6,"Male",NA,NA,"Yes"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Hispanic or Latino: All races",2000,7.1,"Male",NA,NA,"Yes"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Hispanic or Latino: All races",2001,6.7,"Male",NA,NA,"Yes"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Hispanic or Latino: All races",2002,8,"Male",NA,NA,"Yes"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Hispanic or Latino: All races",2003,8.3,"Male",NA,NA,"Yes"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Hispanic or Latino: All races",2004,7.5,"Male",NA,NA,"Yes"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Hispanic or Latino: All races",2005,8.4,"Male",NA,NA,"Yes"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Hispanic or Latino: All races",2006,9.1,"Male",NA,NA,"Yes"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Hispanic or Latino: All races",2007,8.7,"Male",NA,NA,"Yes"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Hispanic or Latino: All races",2008,8.4,"Male",NA,NA,"Yes"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Hispanic or Latino: All races",2009,8.2,"Male",NA,NA,"Yes"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Hispanic or Latino: All races",2010,7.6,"Male",NA,NA,"Yes"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Hispanic or Latino: All races",2011,8.1,"Male",NA,NA,"Yes"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Hispanic or Latino: All races",2012,8.5,"Male",NA,NA,"Yes"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Hispanic or Latino: All races",2013,9.2,"Male",NA,NA,"Yes"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Hispanic or Latino: All races",2014,9.3,"Male",NA,NA,"Yes"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Hispanic or Latino: All races",2015,10.9,"Male",NA,NA,"Yes"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Hispanic or Latino: All races",2016,13.9,"Male",NA,NA,"Yes"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Hispanic or Latino: All races",2017,15.9,"Male",NA,NA,"Yes"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Hispanic or Latino: All races",2018,16.6,"Male",NA,NA,"Yes"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: White",1999,8,"Male",NA,"White","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: White",2000,8.6,"Male",NA,"White","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: White",2001,9.6,"Male",NA,"White","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: White",2002,11.6,"Male",NA,"White","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: White",2003,12.9,"Male",NA,"White","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: White",2004,13.7,"Male",NA,"White","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: White",2005,14.7,"Male",NA,"White","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: White",2006,17.2,"Male",NA,"White","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: White",2007,18,"Male",NA,"White","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: White",2008,18.3,"Male",NA,"White","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: White",2009,18.3,"Male",NA,"White","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: White",2010,19,"Male",NA,"White","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: White",2011,20.5,"Male",NA,"White","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: White",2012,20.4,"Male",NA,"White","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: White",2013,21.4,"Male",NA,"White","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: White",2014,23.2,"Male",NA,"White","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: White",2015,26.2,"Male",NA,"White","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: White",2016,32.7,"Male",NA,"White","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: White",2017,35.8,"Male",NA,"White","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: White",2018,33.5,"Male",NA,"White","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: Black",1999,11.5,"Male",NA,"Black","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: Black",2000,10.9,"Male",NA,"Black","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: Black",2001,11.2,"Male",NA,"Black","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: Black",2002,11.7,"Male",NA,"Black","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: Black",2003,11.6,"Male",NA,"Black","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: Black",2004,11.4,"Male",NA,"Black","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: Black",2005,13,"Male",NA,"Black","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: Black",2006,15.7,"Male",NA,"Black","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Male: Not Hispanic or Latino: Black",2007,13.3,"Male",NA,"Black","No"
